number;group;p1;p2;p3;extra;final_type;ekp35;scenario;main_service;notify_count;notify_services
1010802;;на улице;опора контактной сети;дым;;задымление: опора контактной сети;НЕТ в ЕКП;MCHS;пожар: электрические сети;19;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны
1010901;;на улице;ЛЭП;открытое пламя;;пожар: ЛЭП;пожар: электрические сети;MCHS;пожар: электрические сети;23;"Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | МОЭСК (ПАО ""Россети Московский регион"") | ОЭК | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР"
1010902;;на улице;ЛЭП;дым;;задымление: ЛЭП;пожар: электрические сети;MCHS;пожар: электрические сети;19;"Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | МОЭСК (ПАО ""Россети Московский регион"") | ОЭК | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР"
1011001;;на улице;Провода;открытое пламя;;пожар: провода на улице;пожар: электрические сети;MCHS;пожар: электрические сети;25;"Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | МОЭСК (ПАО ""Россети Московский регион"") | ОЭК | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны"
1011002;;на улице;Провода;дым;;задымление: провода на улице;пожар: электрические сети;MCHS;пожар: электрические сети;21;"Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | МОЭСК (ПАО ""Россети Московский регион"") | ОЭК | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны"
1011100;;на улице;запах гари;;;запах гари на улице;НЕТ в ЕКП;MCHS;пожар: другое;8;Классификатор МЧС | Классификатор СМП | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ
1011201;;на улице;дерево, деревья;открытое пламя;;пожар: дерево, деревья;пожар: дерево;MCHS;пожар: дерево;20;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
1011202;;на улице;дерево, деревья;дым;;задымление: дерево, деревья;пожар: дерево;MCHS;пожар: дерево;17;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны
1020101;горит транспорт;транспорт;общественный транспорт;открытое пламя;;пожар: автобус;пожар: автобус;MCHS;Пожар: Общественный транспорт;22;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020102;;транспорт;общественный транспорт;дым;;задымление: автобус;пожар: автобус;MCHS;Пожар: Общественный транспорт;20;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020201;;транспорт;автомашина;открытое пламя;;пожар: машина;Пожар: машина;MCHS;Пожар: Транспортное средство;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020202;;транспорт;автомашина;дым;;задымление: машина;Пожар: машина;MCHS;Пожар: Транспортное средство;20;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020301;;транспорт;ДТП с пожаром;открытое пламя;;пожар при ДТП;ДТП с пожаром;MCHS;Пожар: Транспортное средство;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020302;;транспорт;ДТП с пожаром;дым;;задымление при ДТП;ДТП с пожаром;MCHS;Пожар: Транспортное средство;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020401;;транспорт;опасный груз;открытое пламя;;пожар: опасный груз;Пожар: машина;MCHS;Пожар: Транспортное средство;26;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок | ГПБУ Мосэкомониторинг | Министерство обороны РХБЗ | Министерство обороны РХБЗ | ООО Ситиэнерго
1020402;;транспорт;опасный груз;дым;;задымление: опасный груз;Пожар: машина;MCHS;Пожар: Транспортное средство;25;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок | ГПБУ Мосэкомониторинг | Министерство обороны РХБЗ | Министерство обороны РХБЗ
1020501;;транспорт;воздушный транспорт;открытое пламя;;пожар: воздушный транспорт;НЕТ В ЕКП;MCHS;Пожар: Воздушное судно;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР
1020502;;транспорт;воздушный транспорт;дым;;задымление: воздушный транспорт;НЕТ В ЕКП;MCHS;Пожар: Воздушное судно;20;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР
1020601;;транспорт;Аэропорт;открытое пламя;;пожар: аэропорт;пожар: аэропорт;MCHS;пожар: аэропорт;24;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Росгвардия | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР
1020602;;транспорт;Аэропорт;дым;;задымление: аэропорт;пожар: аэропорт;MCHS;пожар: аэропорт;22;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Росгвардия | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР
1020701;;транспорт;ж/д транспорт;открытое пламя;;пожар: жд транспорт;пожар: ж-д транспорт;MCHS;пожар: ж-д транспорт;23;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | РЖД (МосковскаяЖД) | Росгвардия | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР
1020702;;транспорт;ж/д транспорт;дым;;задымление: жд транспорт;пожар: ж-д транспорт;MCHS;пожар: ж-д транспорт;24;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | РЖД (МосковскаяЖД) | ОАТИ | Росгвардия | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
1020801;;транспорт;Вокзал ж/д, платформа жд;открытое пламя;;пожар: вокзал;пожар: вокзал;MCHS;пожар: вокзал;28;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | ОЭК | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | РЖД (МосковскаяЖД) | ОАТИ | ОД Департамент ТСЗН | Росгвардия | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
1020802;;транспорт;Вокзал ж/д, платформа жд;дым;;задымление: вокзал;пожар: вокзал;MCHS;пожар: вокзал;25;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ОЭК | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | РЖД (МосковскаяЖД) | ОД Департамент ТСЗН | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
1020901;;транспорт;транспорт прочее;открытое пламя;;пожар: транспорт (прочее);Пожар: машина;MCHS;Пожар: Транспортное средство;20;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1020902;;транспорт;транспорт прочее;дым;;задымление: транспорт (прочее);Пожар: машина;MCHS;Пожар: Транспортное средство;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021001;;транспорт;водный;открытое пламя;;пожар: водный транспорт;НЕТ в ЕКП;MCHS;Пожар: Морское/речное судно;24;Классификатор МЧС | Классификатор МЧС | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | Канал имени Москвы | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Центррегионводхоз (Московско-Окское БВУ) | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021002;;транспорт;водный;дым;;задымление: водный транспорт;НЕТ в ЕКП;MCHS;Пожар: Морское/речное судно;25;Классификатор МЧС | Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | Канал имени Москвы | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Центррегионводхоз (Московско-Окское БВУ) | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021101;;транспорт;мост;открытое пламя;;пожар: мост;НЕТ в ЕКП;MCHS;Пожар: Мост;25;Классификатор МВД | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021102;;транспорт;мост;дым;;задымление: мост;НЕТ в ЕКП;MCHS;Пожар: Мост;22;Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021201;;транспорт;эстакада;открытое пламя;;пожар: эстакада;НЕТ в ЕКП;MCHS;Пожар: Мост;23;Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021202;;транспорт;эстакада;дым;;задымление: эстакада;НЕТ в ЕКП;MCHS;Пожар: Мост;22;Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
1021301;;транспорт;тоннель;открытое пламя;;пожар: тоннель;пожар: тоннель;MCHS;Пожар: Тоннель;28;Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Классификатор ФСБ | Мосгортранс | Гор. Хозяйство | ГОРМОСТ | ГОРМОСТ | ГОРМОСТ | ГОРМОСТ | ОЭК | ЦОДД | Департамент РБиПК             (ГКУ МОСБЕЗ) | Департамент РБиПК             (ГКУ МОСБЕЗ) | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГКУ Организатор перевозок
